Estado,Fecha,Positivos,Negativos,Sospechosos,Defunciones,Inconsistencias
AGU,2020-04-07,49,389,164,0,
BCN,2020-04-07,111,395,245,7,
BCS,2020-04-07,54,202,141,2,
CAM,2020-04-07,9,40,15,0,
COA,2020-04-07,102,424,391,5,
COL,2020-04-07,4,38,22,0,
CHP,2020-04-07,26,133,65,0,
CHH,2020-04-07,22,101,52,0,
CMX,2020-04-07,609,1598,1100,29,
DUR,2020-04-07,12,141,78,4,
GUA,2020-04-07,58,1025,164,0,
GRO,2020-04-07,32,167,128,3,
HID,2020-04-07,35,232,79,5,
JAL,2020-04-07,126,1184,703,7,
MEX,2020-04-07,261,789,572,8,
MIC,2020-04-07,33,232,82,3,
MOR,2020-04-07,17,138,57,3,
NAY,2020-04-07,10,93,27,1,
NLE,2020-04-07,93,970,142,3,
OAX,2020-04-07,27,192,81,1,
PUE,2020-04-07,156,370,222,2,
QUE,2020-04-07,40,281,48,2,
ROO,2020-04-07,115,228,148,8,
SLP,2020-04-07,37,445,154,3,
SIN,2020-04-07,97,254,271,12,
SON,2020-04-07,30,232,141,1,
TAB,2020-04-07,107,328,331,8,
TAM,2020-04-07,31,169,82,1,
TLA,2020-04-07,14,152,75,0,
VER,2020-04-07,41,345,412,3,
YUC,2020-04-07,72,281,64,2,
ZAC,2020-04-07,9,173,39,2,
TOT,2020-04-07,2439,11741,6295,125,
