Estado,Fecha,Positivos,Negativos,Sospechosos,Defunciones,Inconsistencias
AGU,2020-04-04,49,368,75,0,
BCN,2020-04-04,54,333,242,5,
BCS,2020-04-04,27,169,81,2,
CAM,2020-04-04,8,37,9,0,
COA,2020-04-04,72,330,303,4,
COL,2020-04-04,4,38,20,0,
CHP,2020-04-04,19,104,67,0,
CHH,2020-04-04,13,66,42,0,
CMX,2020-04-04,469,1123,938,17,
DUR,2020-04-04,10,90,51,2,
GUA,2020-04-04,53,852,214,0,
GRO,2020-04-04,25,131,118,1,
HID,2020-04-04,32,208,82,5,
JAL,2020-04-04,120,920,769,6,
MEX,2020-04-04,180,642,488,3,
MIC,2020-04-04,29,192,67,1,
MOR,2020-04-04,14,106,62,3,
NAY,2020-04-04,9,66,33,1,
NLE,2020-04-04,88,801,165,1,
OAX,2020-04-04,22,166,56,1,
PUE,2020-04-04,125,329,220,1,
QUE,2020-04-04,36,226,59,2,
ROO,2020-04-04,75,198,115,2,
SLP,2020-04-04,35,364,125,2,
SIN,2020-04-04,74,223,253,10,
SON,2020-04-04,27,196,131,1,
TAB,2020-04-04,83,273,352,3,
TAM,2020-04-04,20,125,83,1,
TLA,2020-04-04,9,151,71,0,
VER,2020-04-04,37,249,430,3,
YUC,2020-04-04,62,242,61,0,
ZAC,2020-04-04,10,149,45,2,
TOT,2020-04-04,1890,9467,5827,79,
