Estado,Fecha,Positivos,Negativos,Sospechosos,Defunciones,Inconsistencias
AGU,2020-04-06,49,389,164,0,
BCN,2020-04-06,111,395,245,7,
BCS,2020-04-06,54,202,141,2,
CAM,2020-04-06,9,40,15,0,
COA,2020-04-06,102,424,391,5,
COL,2020-04-06,4,38,22,0,
CHP,2020-04-06,26,133,65,0,
CHH,2020-04-06,22,101,52,0,
CMX,2020-04-06,609,1598,1100,29,
DUR,2020-04-06,12,141,78,4,
GUA,2020-04-06,58,1025,164,0,
GRO,2020-04-06,32,167,128,3,
HID,2020-04-06,35,232,79,5,
JAL,2020-04-06,126,1184,703,7,
MEX,2020-04-06,261,789,572,8,
MIC,2020-04-06,33,232,82,3,
MOR,2020-04-06,17,138,57,3,
NAY,2020-04-06,10,93,27,1,
NLE,2020-04-06,93,970,142,3,
OAX,2020-04-06,27,192,81,1,
PUE,2020-04-06,156,370,222,2,
QUE,2020-04-06,40,281,48,2,
ROO,2020-04-06,115,228,148,8,
SLP,2020-04-06,37,445,154,3,
SIN,2020-04-06,97,254,271,12,
SON,2020-04-06,30,232,141,1,
TAB,2020-04-06,107,328,331,8,
TAM,2020-04-06,31,169,82,1,
TLA,2020-04-06,14,152,75,0,
VER,2020-04-06,41,345,412,3,
YUC,2020-04-06,72,281,64,2,
ZAC,2020-04-06,9,173,39,2,
TOT,2020-04-06,2439,11741,6295,125,
